序号,指标类型1/2/3/4/5,点描述 ,点名,实际值,期望值,D//-D,上上限H,下下限L,触发标签,坏点时间,备用1,备用2,备用3
488,1//4,B磨煤量,N3DCS.3QTCH522AI,FILTER1//10,CDATA['N3DCS.3SZCH538AO']*0.7,5,1+CDATA['N3DCS.3XSCH734DI']*54.5,-1+CDATA['N3DCS.3XSCH734DI']*8,,,运行参数,,1
489,1//4,B磨冷风挡板开度,N3DCS.3ZTBA172AI,,CDATA['N3DCS.3TZBA172AO'],8,102,-2,,,,,1
490,1//4,B磨热风挡板开度,N3DCS.3ZTBA162AI,,CDATA['N3DCS.3FZBA162AO'],8,102,-2,,,,,1
491,1//4,B磨原煤仓煤位,N3DCS.3WTCH502AI,,,,17,6*CDATA['N3DCS.3ZACH12CPDI'],CDATA['N3DCS.3BM04614'],,,,1
492,1//4,B磨原煤仓煤量,N3DCS.3BMILLCOALQ,"0.1347*pow(CDATA['N3DCS.3WTCH502AI'],3)-0.6137*pow(CDATA['N3DCS.3WTCH502AI'],2)+2.4404*CDATA['N3DCS.3WTCH502AI']+2.255",CDATA['N3DCS.3BMILLCOALQ'],1,500,10*CDATA['N3DCS.3ZACH11CPDI'],,,,,1
493,1,B磨B1B火检(煤),N3DCS.3BIBY638ADI,,,,1,CDATA['N3DCS.3ZACH12CPDI'],,,,,1
494,1,B磨B2B火检(煤),N3DCS.3BIBY640ADI,,,,1,CDATA['N3DCS.3ZACH12CPDI'],,,,,1
495,1,B磨B3B火检(煤),N3DCS.3BIBY642ADI,,,,1,CDATA['N3DCS.3ZACH12CPDI'],,,,,1
496,1,B磨B4B火检(煤),N3DCS.3BIBY644ADI,,,,1,CDATA['N3DCS.3ZACH12CPDI'],,,,,1
497,1,B磨B5B火检(煤),N3DCS.3BIBY646ADI,,,,1,CDATA['N3DCS.3ZACH12CPDI'],,,,,1
498,1,B磨B6B火检(煤),N3DCS.3BIBY648ADI,,,,1,CDATA['N3DCS.3ZACH12CPDI'],,,,,1
499,1//4,C磨电流,N3DCS.3ITAP042AI,,yc('N3DCS.3ITAP042AI')*CDATA['N3DCS.3ZACH13CPDI'],10//20,CDATA['N3DCS.3ZACH13CPDI']*78+2,CDATA['N3DCS.3ZACH13CPDI']*50-2,,,运行参数,,1
500,1//4,3C磨煤机差压,N3DCS.3PTCH623AI,,"min(yc('N3DCS.3PTCH623AI')*0.99,CDATA['N3DCS.3PTCH623AI'])*CDATA['N3DCS.3ZACH13CPDI']",1+(1-CDATA['N3DCS.3ZACH13CPDI'])*3,3.1,-0.1,,,运行参数,,1
501,1//4,C磨一次风流量,N3DCS.3FTBA185X,,yc('N3DCS.3FTBA185X')*CDATA['N3DCS.3ZACH13CPDI'],"max(CDATA['N3DCS.3FTBA185X']-yc('N3DCS.3FTBA185X'),0)+8+(1-CDATA['N3DCS.3ZACH13CPDI'])*100",115,CDATA['N3DCS.3ZACH13CPDI']*66,,,运行参数,,1
502,1//4,C磨出口温度,N3DCS.3TECH607S,,CDATA['N3DCS.3CCSMILLCTST'],5 if CDATA['N3DCS.3ITAP042AI'] >10 else 80//10 if CDATA['N3DCS.3ITAP042AI'] >10 else 80,80 if CDATA['N3DCS.3ITAP042AI'] >10 else 88,CDATA['N3DCS.3ZACH13CPDI']*52,,,运行参数,,1
503,1//4,C磨煤量,N3DCS.3QTCH523AI,FILTER1//10,CDATA['N3DCS.3SZCH539AO']*0.7,5,1+CDATA['N3DCS.3XSCH735DI']*54.5,-0.5+CDATA['N3DCS.3XSCH735DI']*16,,,运行参数,,1
504,1//4,C磨冷风挡板开度,N3DCS.3ZTBA173AI,,CDATA['N3DCS.3TZBA173AO'],8,102,-2,,,,,1
505,1//4,C磨热风挡板开度,N3DCS.3ZTBA163AI,,CDATA['N3DCS.3FZBA163AO'],8,102,-2,,,,,1
506,1//4,C磨原煤仓煤量,N3DCS.3CMILLCOALQ,"0.1347*pow(CDATA['N3DCS.3WTCH503AI'],3)-0.6137*pow(CDATA['N3DCS.3WTCH503AI'],2)+2.4404*CDATA['N3DCS.3WTCH503AI']+2.255",CDATA['N3DCS.3CMILLCOALQ'],1,500,10*CDATA['N3DCS.3ZACH13CPDI'],,,,,1
507,1//4,C磨原煤仓煤位,N3DCS.3WTCH503AI,,,,17,6*CDATA['N3DCS.3ZACH13CPDI'],,,,,1
508,1,C磨C1B火检(煤),N3DCS.3BIBY650ADI,,,,1,CDATA['N3DCS.3ZACH13CPDI'],,,,,1
509,1,C磨C2B火检(煤),N3DCS.3BIBY652ADI,,,,1,CDATA['N3DCS.3ZACH13CPDI'],,,,,1
510,1,C磨C3B火检(煤),N3DCS.3BIBY654ADI,,,,1,CDATA['N3DCS.3ZACH13CPDI'],,,,,1
511,1,C磨C4B火检(煤),N3DCS.3BIBY656ADI,,,,1,CDATA['N3DCS.3ZACH13CPDI'],,,,,1
512,1,C磨C5B火检(煤),N3DCS.3BIBY658ADI,,,,1,CDATA['N3DCS.3ZACH13CPDI'],,,,,1
513,1,C磨C6B火检(煤),N3DCS.3BIBY660ADI,,,,1,CDATA['N3DCS.3ZACH13CPDI'],,,,,1
514,1,C磨惰化蒸汽电动门开,N3DCS.3ZOAS513DI,,,,1 if CDATA['N3DCS.3TECH607S']>80 else 0,1 if CDATA['N3DCS.3TECH607S']>80 and CDATA['N3DCS.3ITAP042AI']>10 else 0,,,,,1
515,1//4,D磨电流,N3DCS.3ITAP043AI,,yc('N3DCS.3ITAP043AI')*CDATA['N3DCS.3ZACH14CPDI'],"max(yc('N3DCS.3ITAP043AI')-CDATA['N3DCS.3ITAP043AI'],0)+7",CDATA['N3DCS.3ZACH14CPDI']*78+2,CDATA['N3DCS.3ZACH14CPDI']*50-2,,,运行参数,,1
516,1//4,3D磨煤机差压,N3DCS.3PTCH624AI,,yc('N3DCS.3PTCH624AI')*CDATA['N3DCS.3ZACH14CPDI'],1+(1-CDATA['N3DCS.3ZACH14CPDI'])*3,3.6,-0.1,,,运行参数,,1
517,1//4,D磨一次风流量,N3DCS.3FTBA186X,,yc('N3DCS.3FTBA186X')*CDATA['N3DCS.3ZACH14CPDI'],"max(CDATA['N3DCS.3FTBA186X']-yc('N3DCS.3FTBA186X'),0)+8+(1-CDATA['N3DCS.3ZACH14CPDI'])*100",115,CDATA['N3DCS.3ZACH14CPDI']*66,,,运行参数,,1
518,1//4,D磨出口温度,N3DCS.3TECH608S,,CDATA['N3DCS.3CCSMILLDTST'],5 if CDATA['N3DCS.3ITAP043AI'] >10 else 80//10 if CDATA['N3DCS.3ITAP043AI'] >10 else 80,80 if CDATA['N3DCS.3ITAP043AI'] >10 else 88,CDATA['N3DCS.3ZACH14CPDI']*52,,,运行参数,,1
519,1//4,D磨煤量,N3DCS.3QTCH524AI,FILTER1//10,CDATA['N3DCS.3SZCH540AO']*0.7,5,1+CDATA['N3DCS.3XSCH736DI']*54.5,-0.5+CDATA['N3DCS.3XSCH736DI']*16,,,运行参数,,1
520,1//4,D磨冷风挡板开度,N3DCS.3ZTBA174AI,,CDATA['N3DCS.3TZBA174AO'],8,102,-2,,,,,1
521,1//4,D磨热风挡板开度,N3DCS.3ZTBA164AI,,CDATA['N3DCS.3FZBA164AO'],8,102,-2,,,,,1
522,1//4,D磨原煤仓煤位,N3DCS.3WTCH504AI,,,,17,6*CDATA['N3DCS.3ZACH14CPDI'],,,,,1
523,1//4,D磨原煤仓煤量,N3DCS.3DMILLCOALQ,"0.1347*pow(CDATA['N3DCS.3WTCH504AI'],3)-0.6137*pow(CDATA['N3DCS.3WTCH504AI'],2)+2.4404*CDATA['N3DCS.3WTCH504AI']+2.255",CDATA['N3DCS.3DMILLCOALQ'],1,500,10*CDATA['N3DCS.3ZACH14CPDI'],,,,,1
524,1,D磨D1B火检(煤),N3DCS.3BIBY662ADI,,,,1,CDATA['N3DCS.3ZACH14CPDI'],,,,,1
525,1,D磨D2B火检(煤),N3DCS.3BIBY664ADI,,,,1,CDATA['N3DCS.3ZACH14CPDI'],,,,,1
526,1,D磨D3B火检(煤),N3DCS.3BIBY666ADI,,,,1,CDATA['N3DCS.3ZACH14CPDI'],,,,,1
527,1,D磨D4B火检(煤),N3DCS.3BIBY668ADI,,,,1,CDATA['N3DCS.3ZACH14CPDI'],,,,,1
528,1,D磨D5B火检(煤),N3DCS.3BIBY670ADI,,,,1,CDATA['N3DCS.3ZACH14CPDI'],,,,,1
529,1,D磨D6B火检(煤),N3DCS.3BIBY672ADI,,,,1,CDATA['N3DCS.3ZACH14CPDI'],,,,,1
530,1//4,仪表空气压力,N3DCS.3PTIA101AI,,,,850,660,,,运行参数,,1
531,1//4,厂用空气压力,N3DCS.9PTSA000AI,,,,800,500,,,运行参数,,1
532,1//3,A仪表空压机故障,N3DCS.3XSIA01CAEDI,,,,0.1,0,,,,,1
533,1//3,A仪表空压机打闸,N3DCS.3XSIA01CAFDI,,,,0.1,0,,,,,1
534,1//3,B仪表空压机故障,N3DCS.3XSIA01CBEDI,,,,0.1,0,,,,,1
535,1//3,B仪表空压机打闸,N3DCS.3XSIA01CBFDI,,,,0.1,0,,,,,1
536,1,仪表空气加卸载频率 ,N3DCS.3INSTRUMENTAIRHZ,"Frequency('N3DCS.3PTIA101AI',3600)",,,20,-1,,,,,1
537,1//4,总风量,N3DCS.3CCSTTAIRFL,,,,(1-CDATA['N3DCS.3BM04614'])*60+40,(1-CDATA['N3DCS.3BM04614'])*35-5,,,运行参数,,1
538,1//4,氧量均值,N3DCS.3ATBA265S,,MID['B_modle[2]'],2.5,10,2,,,标题、运行参数,%,1
539,1//4,炉膛负压,N3DCS.3PTBA221S,FILTER1//10,CDATA['N3DCS.3CCSFURPSP'],0.15//0.2,0.3,-0.5,,,标题、运行参数,KPa,1
540,1//4,A侧烟气含氧量（%）,N3DCS.3ATBA265AAI,,MID['B_modle[2]'],3.5,10,2,,,,,1
541,1//4,B侧烟气含氧量（%）,N3DCS.3ATBA265BAI,,MID['B_modle[2]'],2//MID['B_modle[2]']/2,10,1.5,,,,,1
542,1,A空预器出口一次风压力,N3DCS.3PTBA153AI,,CDATA['N3DCS.3CCSPAPSP'],1,10,5,CDATA['N3DCS.3ZBBA04FDI'],,,,1
543,1,B空预器出口一次风压力,N3DCS.3PTBA154AI,,CDATA['N3DCS.3CCSPAPSP'],1,10,5,CDATA['N3DCS.3ZBBA03FDI'],,,,1
544,1,一次风压力,N3DCS.3PTBA159S,FILTER1//10,CDATA['N3DCS.3CCSPAPSP'],0.5,10,5,CDATA['N3DCS.3BM04614'],,,,1
545,1,二次风压力,N3DCS.3PTBA061S,FILTER1//10,CDATA['N3DCS.3CCSSECDPSP'],0.2 if CDATA['N3DCS.3PZBA021AO']>21 or CDATA['N3DCS.3PZBA022AO']>11 else 0.5//0.2,1.6,0.3,CDATA['N3DCS.3BM04614'],,,,1
546,1//4,二次风压力设定,N3DCS.3CCSSECDPSP,,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[-100,0.3,100,0.35,200,0.4,450,0.5,700,0.75,1060,1.4,1160,1.6])",0.4,1.6,0.3,,,,,1
547,1//4,一次风压力设定,N3DCS.3CCSPAPSP,,MID['B_modle[14]'],1+MID['B_modle[14]']*0.1,10,5.5,,,,,1
548,1,A侧二次风箱压力,N3DCS.3PTBA061AAI,,CDATA['N3DCS.3CCSSECDPSP'],0.3 if CDATA['N3DCS.3PZBA021AO']>21 or CDATA['N3DCS.3PZBA022AO']>11 else 0.5//0.3,1.6,0.25,CDATA['N3DCS.3BM04614'],,,,1
549,1,B侧二次风箱压力,N3DCS.3PTBA061BAI,,CDATA['N3DCS.3CCSSECDPSP'],0.3 if CDATA['N3DCS.3PZBA021AO']>21 or CDATA['N3DCS.3PZBA022AO']>11 else 0.5//0.3,1.6,0.25,CDATA['N3DCS.3BM04614'],,,,1
550,1,A空预器出口烟气压力,N3DCS.3PTBA281AI,,yc('N3DCS.3PTBA281AI'),0.25,-1+(1-CDATA['N3DCS.3ZABA05FADI'])*1.2,-3.5+(1-CDATA['N3DCS.3ZABA05FADI'])*2.5,CDATA['N3DCS.3BM04614'],,,,1
551,1,A引风机出口烟气压力,N3DCS.3PTBA313AI,FILTER1//5,yc('N3DCS.3PTBA313AI'),0.25,1+CDATA['N3DCS.3ZABA05FADI']*2,-1+CDATA['N3DCS.3ZABA05FADI']*1.5,CDATA['N3DCS.3BM04614'],,,,1
552,1,B引风机出口烟气压力,N3DCS.3PTBA314AI,FILTER1//5,yc('N3DCS.3PTBA314AI'),0.25,1+CDATA['N3DCS.3ZABA06FADI']*2,-1+CDATA['N3DCS.3ZABA06FADI']*1.5,CDATA['N3DCS.3BM04614'],,,,1
553,1//3,A密封风机,N3DCS.3ZACH09FDI,,,,"min(CDATA['N3DCS.3ZABA03FDI']+CDATA['N3DCS.3ZABA04FDI'],1)*(1-CDATA['N3DCS.3ZACH10FDI'])","min(CDATA['N3DCS.3ZABA03FDI']+CDATA['N3DCS.3ZABA04FDI'],1)*(1-CDATA['N3DCS.3ZACH10FDI'])",,,,,1
554,1//3,B密封风机,N3DCS.3ZACH10FDI,,,,"min(CDATA['N3DCS.3ZABA03FDI']+CDATA['N3DCS.3ZABA04FDI'],1)*(1-CDATA['N3DCS.3ZACH09FDI'])","min(CDATA['N3DCS.3ZABA03FDI']+CDATA['N3DCS.3ZABA04FDI'],1)*(1-CDATA['N3DCS.3ZACH09FDI'])",,,,,1
555,1//4,密封风母管压力,N3DCS.3PTCH592AI,,,,"min(CDATA['N3DCS.3ZACH09FDI']+CDATA['N3DCS.3ZACH10FDI'],1)*18","min(CDATA['N3DCS.3ZACH09FDI']+CDATA['N3DCS.3ZACH10FDI'],1)*11-1",,,,,1
556,1,A密封风机入口电动门开,N3DCS.3ZOCH595DI,,,,CDATA['N3DCS.3ZACH09FDI'],CDATA['N3DCS.3ZACH09FDI'],,,,,1
557,1,A密封风机入口电动门关,N3DCS.3ZCCH595DI,,,,1-CDATA['N3DCS.3ZOCH595DI'],0,,,,,1
558,1,B密封风机入口电动门开,N3DCS.3ZOCH596DI,,,,CDATA['N3DCS.3ZACH10FDI'],CDATA['N3DCS.3ZACH10FDI'],,,,,1
559,1,B密封风机入口电动门关,N3DCS.3ZCCH596DI,,,,1-CDATA['N3DCS.3ZOCH596DI'],1-CDATA['N3DCS.3ZOCH596DI'],,,,,1
560,1,交流火检冷却风机,N3DCS.3ZABY19FDI,,,,"1 if max(np.max(ASECTE),np.max(BSECTE),np.max(CSECTE),np.max(DSECTE))>150 else 0","1 if max(np.max(ASECTE),np.max(BSECTE),np.max(CSECTE),np.max(DSECTE))>150 else 0",CDATA['N3DCS.3BM04614'],,,,1
561,1,直流火检冷却风机,N3DCS.3ZABY20FDI,,,,"(1-CDATA['N3DCS.3ZABY19FDI'])*1 if max(np.max(ASECTE),np.max(BSECTE),np.max(CSECTE),np.max(DSECTE))>150 else 0","(1-CDATA['N3DCS.3ZABY19FDI'])*1 if max(np.max(ASECTE),np.max(BSECTE),np.max(CSECTE),np.max(DSECTE))>150 else 0",CDATA['N3DCS.3BM04614'],,,,1
562,1,A侧烟气CO含量,N3DCS.SCRCO001,,50,50,200,-1,CDATA['N3DCS.3BM04614'],500,运行参数,,1
563,1,B侧烟气CO含量,N3DCS.SCRCO002,,50,50,200,-1,CDATA['N3DCS.3BM04614'],500,运行参数,,1
564,1//4,A送风机入口导叶开度,N3DCS.3ZTBA021AI,,CDATA['N3DCS.3PZBA021AO'],5,60,16*CDATA['N3DCS.3ZABA01FDI']-1,CDATA['N3DCS.3ZBBA01FDI'],,,,1
565,1//4,B送风机入口导叶开度,N3DCS.3ZTBA022AI,,CDATA['N3DCS.3PZBA022AO'],5,55,10*CDATA['N3DCS.3ZABA02FDI']-1,CDATA['N3DCS.3ZBBA02FDI'],,,,1
566,1,A送风机流量1,N3DCS.3FTBA025AAI,,yc('N3DCS.3FTBA025AAI'),25,800,200*CDATA['N3DCS.3ZABA01FDI'],CDATA['N3DCS.3ZBBA01FDI'],,,,1
567,1,A送风机流量2,N3DCS.3FTBA025BAI,,yc('N3DCS.3FTBA025AAI'),25,800,200*CDATA['N3DCS.3ZABA01FDI'],CDATA['N3DCS.3ZBBA01FDI'],,,,1
568,1,A送风机流量3,N3DCS.3FTBA025CAI,,yc('N3DCS.3FTBA025AAI'),25,800,200*CDATA['N3DCS.3ZABA01FDI'],CDATA['N3DCS.3ZBBA01FDI'],,,,1
569,1,A送风机电流,N3DCS.3ITAP055AI,,yc('N3DCS.3ITAP055AI'),5,75,11*CDATA['N3DCS.3ZABA01FDI']-1,CDATA['N3DCS.3ZBBA01FDI'],,运行参数,,1
570,1,B送风机流量1,N3DCS.3FTBA026AAI,,yc('N3DCS.3FTBA026AAI'),25,800,200*CDATA['N3DCS.3ZABA02FDI'],CDATA['N3DCS.3ZBBA02FDI'],,,,1
571,1,B送风机流量2,N3DCS.3FTBA026BAI,,yc('N3DCS.3FTBA026AAI'),25,800,200*CDATA['N3DCS.3ZABA02FDI'],CDATA['N3DCS.3ZBBA02FDI'],,,,1
572,1,B送风机流量3,N3DCS.3FTBA026CAI,,yc('N3DCS.3FTBA026AAI'),25,800,200*CDATA['N3DCS.3ZABA02FDI'],CDATA['N3DCS.3ZBBA02FDI'],,,,1
573,1,B送风机电流,N3DCS.3ITAP056AI,,yc('N3DCS.3ITAP056AI'),5,75,18*CDATA['N3DCS.3ZABA01FDI']-2,CDATA['N3DCS.3ZBBA02FDI'],,运行参数,,1
574,1,A送风机液压油温度,N3DCS.3TEBA013AAI,,CDATA['N3DCS.3TEBA013AAI'],5,50,18*CDATA['N3DCS.3ZABA01FDI']-2,,,,,1
575,1,A送风机风机轴承温度1,N3DCS.3TEBA021AAI,,CDATA['N3DCS.3TEBA021AAI'],5,75,18*CDATA['N3DCS.3ZABA01FDI']+2,CDATA['N3DCS.3ZBBA01FDI'],,,,1
576,1,A送风机风机轴承温度2,N3DCS.3TEBA021BAI,,CDATA['N3DCS.3TEBA021BAI'],5,70,20,CDATA['N3DCS.3ZBBA01FDI'],,,,1
577,1,A送风机风机轴承温度3,N3DCS.3TEBA021CAI,,CDATA['N3DCS.3TEBA021CAI'],5,72,20,CDATA['N3DCS.3ZBBA01FDI'],,,,1
578,1,A送风机电机前轴承温度1,N3DCS.3TEBA01MDAI,,CDATA['N3DCS.3TEBA01MDAI'],5,65,20,CDATA['N3DCS.3ZBBA01FDI'],,,,1
579,1,A送风机电机前轴承温度2,N3DCS.3TEBA01MDBAI,,CDATA['N3DCS.3TEBA01MDBAI'],5,68,20,CDATA['N3DCS.3ZBBA01FDI'],,,,1
580,1,A送风机电机后轴承温度1,N3DCS.3TEBA01MEAI,,CDATA['N3DCS.3TEBA01MEAI'],5,68,20,CDATA['N3DCS.3ZBBA01FDI'],,,,1
581,1,A送风机电机后轴承温度2,N3DCS.3TEBA01MEBAI,,CDATA['N3DCS.3TEBA01MEBAI'],5,68,20,CDATA['N3DCS.3ZBBA01FDI'],,,,1
582,1,A送风机马达线圈温度1,N3DCS.3TEBA01MAAI,,CDATA['N3DCS.3TEBA01MAAI'],5,57,10,CDATA['N3DCS.3ZBBA01FDI'],,,,1
583,1,A送风机马达线圈温度2,N3DCS.3TEBA01MBAI,,CDATA['N3DCS.3TEBA01MBAI'],5,57,10,CDATA['N3DCS.3ZBBA01FDI'],,,,1
584,1,A送风机马达线圈温度3,N3DCS.3TEBA01MCAI,,CDATA['N3DCS.3TEBA01MCAI'],5,57,10,CDATA['N3DCS.3ZBBA01FDI'],,,,1
585,1//3,A送风机液压油泵,N3DCS.3ZABA01AMDI,,,,1,CDATA['N3DCS.3ZABA01FDI'],,,,,1
586,1,B送风机液压油温度,N3DCS.3TEBA014AAI,,CDATA['N3DCS.3TEBA014AAI'],5,46,20,CDATA['N3DCS.3ZBBA02FDI'],,,,1
587,1,B送风机风机轴承温度1,N3DCS.3TEBA022AAI,,CDATA['N3DCS.3TEBA022AAI'],5,70,10,CDATA['N3DCS.3ZBBA02FDI'],,,,1
588,1,B送风机风机轴承温度2,N3DCS.3TEBA022BAI,,CDATA['N3DCS.3TEBA022BAI'],5,68,10,CDATA['N3DCS.3ZBBA02FDI'],,,,1
589,1,B送风机风机轴承温度3,N3DCS.3TEBA022CAI,,CDATA['N3DCS.3TEBA022CAI'],5,70,10,CDATA['N3DCS.3ZBBA02FDI'],,,,1
590,1,B送风机电机前轴承温度1,N3DCS.3TEBA02MDAI,,CDATA['N3DCS.3TEBA02MDAI'],5,59,20,CDATA['N3DCS.3ZBBA02FDI'],,,,1
591,1,B送风机电机前轴承温度2,N3DCS.3TEBA02MDBAI,,CDATA['N3DCS.3TEBA02MDBAI'],5,59,20,CDATA['N3DCS.3ZBBA02FDI'],,,,1
592,1,B送风机电机后轴承温度1,N3DCS.3TEBA02MEAI,,CDATA['N3DCS.3TEBA02MEAI'],5,65,20,CDATA['N3DCS.3ZBBA02FDI'],,,,1
593,1,B送风机电机后轴承温度2,N3DCS.3TEBA02MEBAI,,CDATA['N3DCS.3TEBA02MEBAI'],5,65,20,CDATA['N3DCS.3ZBBA02FDI'],,,,1
594,1,B送风机马达线圈温度1,N3DCS.3TEBA02MAAI,,CDATA['N3DCS.3TEBA02MAAI'],5,56,10,CDATA['N3DCS.3ZBBA02FDI'],,,,1
595,1,B送风机马达线圈温度2,N3DCS.3TEBA02MBAI,,CDATA['N3DCS.3TEBA02MBAI'],5,55,10,CDATA['N3DCS.3ZBBA02FDI'],,,,1
596,1,B送风机马达线圈温度3,N3DCS.3TEBA02MCAI,,CDATA['N3DCS.3TEBA02MCAI'],5,57,10,CDATA['N3DCS.3ZBBA02FDI'],,,,1
597,1//3,B送风机液压油泵,N3DCS.3ZABA02AMDI,,,,1,CDATA['N3DCS.3ZABA02FDI'],,,,,1
598,1//3,A送风机出口门,N3DCS.3ZOBA039DI,,,,CDATA['N3DCS.3ZABA01FDI'],CDATA['N3DCS.3ZABA01FDI'],,,,,1
599,1,A送风机入口风温1,N3DCS.3TEBA001AAI,,,,55,5,,,,,1
600,1,A送风机入口风温2,N3DCS.3TEBA001BAI,,,,55,5,,,,,1
601,1//3,B送风机出口门,N3DCS.3ZOBA040DI,,,,CDATA['N3DCS.3ZABA02FDI'],CDATA['N3DCS.3ZABA02FDI'],,,,,1
602,1,B送风机入口风温1,N3DCS.3TEBA002AAI,,,,55,5,,,,,1
603,1,B送风机入口风温2,N3DCS.3TEBA002BAI,,,,55,5,,,,,1
604,1,A引风机6KV电流,N3DCS.3ITAP059AI,FILTER//10,yc('N3DCS.3ITAP059AI'),20,340,15,CDATA['N3DCS.3ZABA05FADI']==0,100,运行参数,,1
605,1,B引风机6KV电流,N3DCS.3ITAP060AI,FILTER//10,yc('N3DCS.3ITAP060AI'),20,340,15,CDATA['N3DCS.3ZABA06FADI']==0,100,运行参数,,1
606,1//4,A引风机入口导叶反馈,N3DCS.3ZTBA305AI,,CDATA['N3DCS.3FZBA305AO'],5,101,15,,,,,1
607,1//4,B引风机入口导叶反馈,N3DCS.3ZTBA306AI,,CDATA['N3DCS.3FZBA306AO'],5,101,15,,,,,1
608,1,A引风机入口压力,N3DCS.3PTBA311AI,FILTER//5,yc('N3DCS.3PTBA311AI'),0.3+(1-CDATA['N3DCS.3ZABA05FADI'])*2,1-CDATA['N3DCS.3ZABA05FADI']*2.4,-5*CDATA['N3DCS.3ZABA05FADI'],CDATA['N3DCS.3ZABA05FADI']==0,100,,,1
609,1,B引风机入口压力,N3DCS.3PTBA312AI,FILTER//5,yc('N3DCS.3PTBA312AI'),0.2+(1-CDATA['N3DCS.3ZABA05FADI'])*2,1-CDATA['N3DCS.3ZABA06FADI']*2.4,-5*CDATA['N3DCS.3ZABA06FADI'],CDATA['N3DCS.3ZABA06FADI']==0,100,,,1
610,1,A引风机润滑油压力1,N3DCS.3PTBA05OLAAI,,"0.28*min(CDATA['N3DCS.3ZABA05OPBDI']+CDATA['N3DCS.3ZABA05OPADI'],1)",0.02,(CDATA['N3DCS.3ZABA05OPBDI']+CDATA['N3DCS.3ZABA05OPADI'])*0.3,(CDATA['N3DCS.3ZABA05OPBDI']+CDATA['N3DCS.3ZABA05OPADI'])*0.15,,,,,1
611,1,A引风机润滑油压力2,N3DCS.3PTBA05OLBAI,,"0.28*min(CDATA['N3DCS.3ZABA05OPBDI']+CDATA['N3DCS.3ZABA05OPADI'],1)",0.02,(CDATA['N3DCS.3ZABA05OPBDI']+CDATA['N3DCS.3ZABA05OPADI'])*0.3,(CDATA['N3DCS.3ZABA05OPBDI']+CDATA['N3DCS.3ZABA05OPADI'])*0.15,,,,,1
612,1,B引风机润滑油压力1,N3DCS.3PTBA06OLAAI,,"0.264*min(CDATA['N3DCS.3ZABA06OPBDI']+CDATA['N3DCS.3ZABA06OPADI'],1)",0.02,(CDATA['N3DCS.3ZABA06OPBDI']+CDATA['N3DCS.3ZABA06OPADI'])*0.3,(CDATA['N3DCS.3ZABA06OPBDI']+CDATA['N3DCS.3ZABA06OPADI'])*0.15,,,,,1
613,1,B引风机润滑油压力2,N3DCS.3PTBA06OLBAI,,"0.264*min(CDATA['N3DCS.3ZABA06OPBDI']+CDATA['N3DCS.3ZABA06OPADI'],1)",0.02,(CDATA['N3DCS.3ZABA06OPBDI']+CDATA['N3DCS.3ZABA06OPADI'])*0.3,(CDATA['N3DCS.3ZABA06OPBDI']+CDATA['N3DCS.3ZABA06OPADI'])*0.15,,,,,1
614,1,A引风机润滑油泵1,N3DCS.3ZABA05OPBDI,,,,1-CDATA['N3DCS.3ZABA05OPADI'],(1-CDATA['N3DCS.3ZABA05OPADI'])*CDATA['N3DCS.3ZABA05FADI'],,,,,1
615,1,A引风机润滑油泵2,N3DCS.3ZABA05OPADI,,,,1-CDATA['N3DCS.3ZABA05OPBDI'],(1-CDATA['N3DCS.3ZABA05OPBDI'])*CDATA['N3DCS.3ZABA05FADI'],,,,,1
616,1,B引风机润滑油泵1,N3DCS.3ZABA06OPBDI,,,,1-CDATA['N3DCS.3ZABA06OPADI'],(1-CDATA['N3DCS.3ZABA06OPADI'])*CDATA['N3DCS.3ZABA06FADI'],,,,,1
617,1,B引风机润滑油泵2,N3DCS.3ZABA06OPADI,,,,1-CDATA['N3DCS.3ZABA06OPBDI'],(1-CDATA['N3DCS.3ZABA06OPBDI'])*CDATA['N3DCS.3ZABA06FADI'],,,,,1
618,1,A引风机润滑出口温度,N3DCS.3TEBA05OLAI,,,,"32+max(CDATA['N3DCS.3TEWC209AI']-28.5,0)",15,CDATA['N3DCS.3ZABA05FADI']==0,,,,1
619,1,A引风机润滑油箱温度,N3DCS.3TEBA05OTAI,,,,"32+max(CDATA['N3DCS.3TEWC209AI']-28.5,0)",15,CDATA['N3DCS.3ZABA05FADI']==0,,,,1
620,1,B引风机润滑出口温度,N3DCS.3TEBA06OLAI,,,,"32+max(CDATA['N3DCS.3TEWC209AI']-28.5,0)",15,CDATA['N3DCS.3ZABA06FADI']==0,,,,1
621,1,B引风机润滑油箱温度,N3DCS.3TEBA06OTAI,,,,"32+max(CDATA['N3DCS.3TEWC209AI']-28.5,0)",15,CDATA['N3DCS.3ZABA06FADI']==0,,,,1
622,1,A引风机电机前轴承振动X,N3DCS.3VBBA05X1AAI,,,,3.1,0.0001,CDATA['N3DCS.3ZABA05FADI']==0,,,,1
623,1,A引风机电机前轴承振动Y,N3DCS.3VBBA05Y1AAI,,,,3.1,0.0001,CDATA['N3DCS.3ZABA05FADI']==0,,,,1
624,1,A引风机电机后轴承振动X,N3DCS.3VBBA05X2AAI,,,,3.1,0.0001,CDATA['N3DCS.3ZABA05FADI']==0,,,,1
625,1,A引风机电机后轴承振动Y,N3DCS.3VBBA05Y2AAI,,,,3.1,0.0001,CDATA['N3DCS.3ZABA05FADI']==0,,,,1
